Class Name;DefaultDisplayName;DefaultCategory;Behaviors;DisplayOrder;IconBlockOffset;IconViewOffset;DefaultIconViewScale;FirstPersonScale;FirstPersonOffset;FirstPersonRotation;InHandScale;InHandOffset;InHandRotation;CraftingId;DefaultCreativeData;IsCollidable;IsPlaceable;IsDiggingTransparent;IsPlacementTransparent;IsInteractive;IsEditable;IsGatherable;HasCollisionBehavior;KillsWhenStuck;IsFluidBlocker;IsTransparent;ShadowStrength;LightAttenuation;EmittedLightAmount;ObjectShadowStrength;DefaultDropContent;DefaultDropCount;RequiredToolLevel;MaxStacking;MaxInHandStacking;SleepSuitability;FrictionFactor;Density;NoAutoJump;NoSmoothRise;FuelHeatLevel;FuelFireDuration;SoundMaterialName;DiggingSoundsFolder;DiggingSoundsVolume;DestructionSoundsVolume;ShovelPower;QuarryPower;HackPower;DefaultMeleePower;DefaultMeleeHitProbability;DefaultProjectilePower;ToolLevel;Durability;IsAimable;IsStickable;AlignToVelocity;ProjectileSpeed;ProjectileDamping;ProjectileTipOffset;DisintegratesOnHit;ProjectileStickProbability;FireDuration;ExplosionResilience;DefaultExplosionPressure;IsExplosionTransparent;DigMethod;DigResilience;ProjectileResilience;DefaultNutritionalValue;FoodType;DefaultTextureSlot;DestructionDebrisScale;DefaultDescription
BirchLeavesBlock;桦叶;植物;WoodBlockBehavior;40;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;birchleaves;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;10;2;0;0;#;1;1;40;40;0.5;1;0.5;FALSE;FALSE;1;1;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;8;2;;TRUE;Hack;0;0.5;0;;52;1;桦叶长才桦树上，可以从中获取树种。树叶可以燃烧，是一种廉价燃料。当远离树干时，树叶会腐败。
SpruceLeavesBlock;云杉叶;植物;WoodBlockBehavior;41;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;spruceleaves;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;10;2;0;0;#;1;1;40;40;0.5;1;0.5;FALSE;FALSE;1;1;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;8;2;;TRUE;Hack;0;0.5;0;;132;1;云杉叶长在云杉上，可以从中获取树种。树叶可以燃烧，是一种廉价燃料。当远离树干时，树叶会腐败。圣诞时，可以用这种树叶合成圣诞树。
TallSpruceLeavesBlock;高云杉叶;植物;WoodBlockBehavior;42;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;tallspruceleaves;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;10;2;0;0;#;1;1;40;40;0.5;1;0.5;FALSE;FALSE;1;1;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;8;2;;TRUE;Hack;0;0.5;0;;132;1;高云杉叶长在高云杉上，可以从中获取树种。树叶可以燃烧，是一种廉价燃料。当远离树干时，树叶会腐败。
TallGrassBlock;高草丛;植物;;43;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;tallgrass;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;6;1;0;0;;1;0;40;40;0;1;0.5;FALSE;FALSE;1;0.5;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;6;2;;TRUE;Hack;0;1;0;Grass;85;1.5;高草从在阳光充足且湿度适宜的草地上随机分布。你可以从中提取种子，用以种植更多的草。可以用于装饰。
RyeBlock;小麦;植物;;44;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;rye;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;4;1;0;0;;1;0;40;40;0;1;0.5;FALSE;FALSE;1;0.5;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;6;2;;TRUE;Hack;0;1;0;Grass;94;1.5;将小麦种植在湿润且肥沃的耕地上可以获得成熟的小麦，收获时可以得到很多的小麦种子。在自然条件下小麦会长成野生小麦，你可以收获野生小麦来获得野生小麦种子。
RedFlowerBlock;红花;植物;;45;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;redflower;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;6;1;0;0;#;1;0;40;40;0;1;0.5;FALSE;FALSE;1;0.5;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;6;2;;TRUE;Hack;0;1;0;Grass;12;1.5;红花在阳光充足且湿度适宜的草地上随机分布。可以用于装饰。
PurpleFlowerBlock;紫花;植物;;46;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;purpleflower;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;6;1;0;0;#;1;0;40;40;0;1;0.5;FALSE;FALSE;1;0.5;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;6;2;;TRUE;Hack;0;1;0;Grass;13;1.5;紫花在阳光充足且湿度适宜的草地上随机分布。可以用于装饰。还可以用于制作紫色染料。
WhiteFlowerBlock;白花;植物;;47;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;whiteflower;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;6;1;0;0;#;1;0;40;40;0;1;0.5;FALSE;FALSE;1;0.5;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;6;2;;TRUE;Hack;0;1;0;Grass;14;1.5;白花在阳光充足且湿度适宜的草地上随机分布。可以用于装饰。
DryBushBlock;枯木;植物;;48;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;6;1;0;0;;1;0;40;40;0;1;0.5;FALSE;FALSE;1;1;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;6;2;;TRUE;Hack;0;1;0;;55;1.5;在沙漠边缘或者寒冷地带枯木很常见。当一株植物无法得到足够的水分或光照来生存下去时，就会变成枯木。
LargeDryBushBlock;大枯木;植物;;49;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;6;1;0;0;;1;0;40;40;0;1;0.5;FALSE;FALSE;1;2;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;8;2;;TRUE;Hack;0;1;0;;71;1.5;在沙漠边缘或者寒冷地带枯木很常见。当一株植物无法得到足够的水分或光照来生存下去时，就会变成枯木。
SaplingBlock;树种;植物;;50;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;sapling;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;2;1;0;0;;1;0;40;40;0;1;0.5;FALSE;FALSE;1;0.5;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;8;2;;TRUE;Hack;0;1;0;Grass;72;1;树种用于植树。你可以通过树叶来合成树种。植树时，要保证树种可以获得足够的光照，充足的水分和合适的温度。用温度计和湿度计来celia哦这些指标。橡树喜欢温暖的地方，桦树偏爱凉爽的地方，云杉适应寒冷地带。所有的这些树需要充足的水分。如果你在一个错误的地点植树，它就会变成枯木。
CactusBlock;仙人掌;植物;;51;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;cactus;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;12;1;0;0;#;1;0;40;40;0;1;0.5;TRUE;TRUE;1;5;Wood;Audio\Impacts\Wood;0.25;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;10;10;;TRUE;Hack;2;0.75;0;;100;1;仙人掌是能忍受干旱气候的大型植物，通常可以在沙漠里长得很大。它们浑身带刺，接触仙人掌会令你受伤，所以要小心一点。它们可以长到 3 格高，如果顶上没有遮挡物的话。残忍的猎人们会用仙人掌铺在陷阱底部来高效地杀死被困的猎物。
PumpkinBlock;南瓜;植物;;52;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;pumpkin;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;3;1;0;0;#;1;1;40;40;0;1;0.5;FALSE;FALSE;0;0;Wood;Audio\Impacts\Wood;0.25;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;0.98;0;FALSE;0.9;10;2;;TRUE;Hack;1.5;0;0.2;Fruit;102;0.66;南瓜是大的橙黄色的蔬菜，以 5 株到 10 株个丛生。收获后可以吃，也可以做成杰克南瓜灯
SeedsBlock;;植物;;53;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;seeds;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;0;1;0;0;;1;0;40;40;0;1;0.5;FALSE;FALSE;1;0.1;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;8;;;TRUE;Hack;0;1;0;;74;1;种子可以用于种植各种各样的植物，比如花草和小麦。一些植物需要在湿润并且肥沃的耕地上才能正常生长。否则它们会成长受阻而无法长成。
IvyBlock;常春藤;植物;IvyBlockBehavior;54;0,0,0;0, 0, 1;0.9;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;ivy;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;4;1;0;0;#;1;0;40;40;0;1;0.5;FALSE;FALSE;1;1;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;6;1;;TRUE;Hack;0;1;0;Grass;10;1;常春藤在垂直表面上悬挂生长。常春藤不需要很多光照，但是需要湿润温暖的气候。
CottonBlock;棉花;植物;;55;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;cotton;0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;3;1;0;0;;1;0;40;40;0;1;0.5;FALSE;FALSE;1;1;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;6;;;TRUE;Hack;0;1;0;Grass;30;1.5;棉花是生长在温暖区域。收获后会得到很多的棉花团，棉花团可以合成各式各样的棉制品。
CottonWadBlock;棉花团;植物;;56;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.4;0,0.12,0;0, 0, 0;cottonwad;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;0;1;0;0;;1;0;40;40;0;1;0.5;FALSE;FALSE;1;1;Plant;Audio\Impacts\Plant;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;8;;;TRUE;Hack;0;1;0;;76;1;棉花团是小团的棉花纤维，可以进一步合成棉制品。
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PlanksBlock;木块;建筑;;58;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;planks;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0.5;1;0.5;FALSE;FALSE;1;10;Wood;Audio\Impacts\Wood;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;20;20;;FALSE;Hack;5;1;0;;4;1;木块由原木切削而成，是一种用途广泛的材料。很多实用的物品如工作台、箱子等，都是由它制成。木块可燃，可以作为熔炉的燃料使用。
CobblestoneBlock;鹅卵石;建筑;;59;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;cobblestone;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;140;;FALSE;Quarry;10;1;0;;16;1;鹅卵石由开采花岗岩获得，是一种结实耐用的材料，适合用于筑墙、铺地。熔炼后会变回花岗岩。
StoneBrickBlock;石砖;建筑;;60;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;stonebrickblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;160;;FALSE;Quarry;12;1;0;;54;1;石砖通过组合几块鹅卵石获得，是一种结实耐用的材料，对爆炸和挖掘的抗性很强。
BricksBlock;砖墙;建筑;;61;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;brickblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;100;;FALSE;Quarry;10;1;0;;70;1;砖墙由几块红砖通过砂浆粘合得到，是一种用途广泛、结实耐用且美观的建筑材料。可以分解成红砖。
MarbleBlock;大理石;建筑;;62;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;marble;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;20;;FALSE;Quarry;6;0.75;0;;7;1;由沙子和石灰岩熔炼而成，是一种美观的建筑材料。质地易碎，很容易被破坏。
MalachiteBlock;孔雀石方块;建筑;;63;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;malachiteblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;20;;FALSE;Quarry;6;0.75;0;;179;1;由多个孔雀石结合而成，非常具有装饰性但非常易碎。
DiamondBlock;钻石方块;建筑;;64;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;diamondblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;4;4;0;1;1.5;FALSE;FALSE;0;40;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;20;4500;;FALSE;Quarry;24;1;0;;182;1;由多个钻石结合而成，价值极高，适合用于装饰。易燃，接触岩浆或被闪电击中时会起火。
IronBlock;铁方块;建筑;;65;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;ironblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;4;4;0;1;10;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;1000;;FALSE;Quarry;16;1;0;;180;1;由多个铁锭结合而成，沉重且耐用，对挖掘和爆炸的抗性很强。
CopperBlock;铜方块;建筑;;66;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;copperblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;4;4;0;1;10;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;1500;;FALSE;Quarry;16;1;0;;181;1;由多个铜锭结合而成，沉重且耐用，对挖掘和爆炸的抗性很强。
GlassBlock;玻璃;建筑;;67;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;glass;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;0;1;0;1;;1;0;40;40;0;1;1.5;FALSE;FALSE;0;0;Stone;Audio\Impacts\Glass;0.4;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;2;;FALSE;Quarry;3;0;0;;67;1;由沙子熔炼而成的透明方块，适合用作窗户，可以让外界的光透进房间里。质地易碎，被硬物撞击后会破裂。
FramedGlassBlock;有框玻璃;建筑;;68;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;framedglass;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;0;1;0;1;#StickBlock;1;0;40;40;0;1;1.5;FALSE;FALSE;0;0;Stone;Audio\Impacts\Glass;0.4;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;15;2;;FALSE;Quarry;3;0;0;;83;1;为玻璃加上木框可以增加装饰性，非常适合用作窗户。
WindowBlock;窗户;建筑;;69;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;window;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;0;1;0;1;#StickBlock;2;0;40;40;0;1;1.5;FALSE;FALSE;0;0;Stone;Audio\Impacts\Glass;0.4;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;15;2;;FALSE;Quarry;3;0;0;;99;1;为玻璃加上木框可以增加装饰性，非常适合用作窗户。
WoodenStairsBlock;木楼梯;建筑;;70;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;woodenstairs;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;8;0;0;1;#;1;0;40;40;0;1;0.5;FALSE;FALSE;1;5;Wood;Audio\Impacts\Wood;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;15;5;;FALSE;Hack;5;1;0;;4;1;使用楼梯可以轻松爬到高处，玩家不必再消耗大量体力和时间在跳跃或攀爬上了。楼梯可以由多种材料制成，还可以倒置在天花板上用作装饰。
StoneStairsBlock;石楼梯;建筑;;71;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;stonestairs;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;8;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;10;1;0;;1;1;使用楼梯可以轻松爬到高处，玩家不必再消耗大量体力和时间在跳跃或攀爬上了。楼梯可以由多种材料制成，还可以倒置在天花板上用作装饰。
CobblestoneStairsBlock;鹅卵石楼梯;建筑;;72;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;cobblestonestairs;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;8;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;10;1;0;;16;1;使用楼梯可以轻松爬到高处，玩家不必再消耗大量体力和时间在跳跃或攀爬上了。楼梯可以由多种材料制成，还可以倒置在天花板上用作装饰。
StoneBrickStairsBlock;石砖楼梯;建筑;;73;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;stonebrickstairs;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;8;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;40;;FALSE;Quarry;12;1;0;;54;1;使用楼梯可以轻松爬到高处，玩家不必再消耗大量体力和时间在跳跃或攀爬上了。楼梯可以由多种材料制成，还可以倒置在天花板上用作装饰。
BrickStairsBlock;红砖楼梯;建筑;;74;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;brickstairs;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;8;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;30;;FALSE;Quarry;10;1;0;;70;1;使用楼梯可以轻松爬到高处，玩家不必再消耗大量体力和时间在跳跃或攀爬上了。楼梯可以由多种材料制成，还可以倒置在天花板上用作装饰。
SandstoneStairsBlock;沙岩楼梯;建筑;;75;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sandstonestairs;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;8;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;30;;FALSE;Quarry;8;1;0;;176;1;使用楼梯可以轻松爬到高处，玩家不必再消耗大量体力和时间在跳跃或攀爬上了。楼梯可以由多种材料制成，还可以倒置在天花板上用作装饰。
MarbleStairsBlock;大理石楼梯;建筑;;76;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;marblestairs;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;8;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;5;;FALSE;Quarry;6;0.75;0;;7;1;使用楼梯可以轻松爬到高处，玩家不必再消耗大量体力和时间在跳跃或攀爬上了。楼梯可以由多种材料制成，还可以倒置在天花板上用作装饰。
BasaltStairsBlock;玄武岩楼梯;建筑;;77;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;basaltstairs;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;8;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;40;;FALSE;Quarry;14;1;0;;6;1;使用楼梯可以轻松爬到高处，玩家不必再消耗大量体力和时间在跳跃或攀爬上了。楼梯可以由多种材料制成，还可以倒置在天花板上用作装饰。
WoodenSlabBlock;木半砖;建筑;;78;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;woodenslab;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;8;0;0;1;#;1;0;40;40;0.5;1;0.5;FALSE;FALSE;1;5;Wood;Audio\Impacts\Wood;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;15;5;;FALSE;Hack;5;1;0;;4;1;半砖的高度是普通方块的一半，可以由多种材料制成。半砖可以用来搭建长楼梯——每前进一格距离升高半格，还可以更节约地铺地，或贴附在天花板上。
